ticker,name,sector,industry,cik
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,20286
CTAS,Cintas,Industrials,Diversified Support Services,723254
CSCO,Cisco,Information Technology,Communications Equipment,858877
C,Citigroup,Financials,Diversified Banks,831001
CFG,Citizens Financial Group,Financials,Regional Banks,759944
CLX,Clorox,Consumer Staples,Household Products,21076
CME,CME Group,Financials,Financial Exchanges & Data,1156375
CMS,CMS Energy,Utilities,Multi-Utilities,811156
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,21344
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,1058290
COHR,Coherent Corp.,Information Technology,Electronic Components,820318
COIN,Coinbase,Financials,Financial Exchanges & Data,1679788
CL,Colgate-Palmolive,Consumer Staples,Household Products,21665
CMCSA,Comcast,Communication Services,Cable & Satellite,1166691
FIX,Comfort Systems USA,Industrials,Construction & Engineering,1035983
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,1163165
ED,Consolidated Edison,Utilities,Multi-Utilities,1047862
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,16918
CEG,Constellation Energy,Utilities,Electric Utilities,1868275
COO,Cooper Companies (The),Health Care,Health Care Supplies,711404
CPRT,Copart,Industrials,Diversified Support Services,900075
GLW,Corning Inc.,Information Technology,Electronic Components,24741
CPAY,Corpay,Financials,Transaction & Payment Processing Services,1175454
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,1755672
CSGP,CoStar Group,Real Estate,Real Estate Services,1057352
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,909832
CRH,CRH plc,Materials,Construction Materials,849395
CRWD,CrowdStrike,Information Technology,Systems Software,1535527
CCI,Crown Castle,Real Estate,Telecom Tower REITs,1051470
CSX,CSX Corporation,Industrials,Rail Transportation,277948
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,26172
CVS,CVS Health,Health Care,Health Care Services,64803
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,313616
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,940944
DDOG,Datadog,Information Technology,Application Software,1561550
DVA,DaVita,Health Care,Health Care Services,927066
DECK,Deckers Brands,Consumer Discretionary,Footwear,910521
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,315189
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",1571996
DAL,Delta Air Lines,Industrials,Passenger Airlines,27904
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,1090012
DXCM,Dexcom,Health Care,Health Care Equipment,1093557
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,1539838
DLR,Digital Realty,Real Estate,Data Center REITs,1297996
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,29534
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,935703
D,Dominion Energy,Utilities,Multi-Utilities,715957
DPZ,Domino's,Consumer Discretionary,Restaurants,1286681
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,1792789
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,29905
DOW,Dow Inc.,Materials,Commodity Chemicals,1751788
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,882184
DTE,DTE Energy,Utilities,Multi-Utilities,936340
DUK,Duke Energy,Utilities,Electric Utilities,1326160
DD,DuPont,Industrials,Industrial Conglomerates,1666700
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,1551182
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,1065088
ECHO,EchoStar,Communication Services,Wireless Telecommunication Services,1415404
ECL,Ecolab,Materials,Specialty Chemicals,31462
EIX,Edison International,Utilities,Electric Utilities,827052
EW,Edwards Lifesciences,Health Care,Health Care Equipment,1099800
ELV,Elevance Health,Health Care,Managed Health Care,1156039
EME,Emcor,Industrials,Construction & Engineering,105634
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,32604
ETR,Entergy,Utilities,Electric Utilities,65984
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,821189
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,33213
EFX,Equifax,Industrials,Research & Consulting Services,33185
EQIX,Equinix,Real Estate,Data Center REITs,1101239
ERIE,Erie Indemnity,Financials,Insurance Brokers,922621
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,920522
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,1001250
EG,Everest Group,Financials,Reinsurance,1095073
EVRG,Evergy,Utilities,Electric Utilities,1711269
P,Everpure,Information Technology,"Technology Hardware, Storage & Peripherals",1474432
ES,Eversource Energy,Utilities,Electric Utilities,72741
EXC,Exelon,Utilities,Electric Utilities,1109357
EXE,Expand Energy,Energy,Oil & Gas Exploration & Production,895126
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1324424
EXPD,Expeditors International,Industrials,Air Freight & Logistics,746515
